vaccine,activity_type,country_code,year,age_first,age_last,coverage
Rubella,routine,ZMB,2022,0,0,0.975362574
Rubella,routine,ZMB,2023,0,0,0.912286021
Rubella,routine,ZMB,2024,0,0,1
Rubella,routine,ZMB,2025,0,0,0.925741863
Rubella,routine,ZMB,2026,0,0,0.999081515
Rubella,routine,ZMB,2027,0,0,0.92339912
Rubella,routine,ZMB,2028,0,0,0.920091585
Rubella,routine,ZMB,2029,0,0,0.940833239
Rubella,routine,ZMB,2030,0,0,0.989639806
Rubella,routine,ZMB,2031,0,0,0.990842664
Rubella,routine,ZMB,2032,0,0,1
Rubella,routine,ZMB,2033,0,0,0.949148463
Rubella,routine,ZMB,2034,0,0,0.90880289
Rubella,routine,ZMB,2035,0,0,0.940472139
Rubella,routine,ZMB,2036,0,0,1
Rubella,routine,ZMB,2037,0,0,0.958139046
Rubella,routine,ZMB,2038,0,0,0.962243932
Rubella,routine,ZMB,2039,0,0,0.897621818
Rubella,routine,ZMB,2040,0,0,1
Rubella,routine,ZMB,2041,0,0,1
Rubella,routine,ZMB,2042,0,0,1
Rubella,routine,ZMB,2043,0,0,1
Rubella,routine,ZMB,2044,0,0,0.963273056
Rubella,routine,ZMB,2045,0,0,0.992143857
Rubella,routine,ZMB,2046,0,0,0.974842427
Rubella,routine,ZMB,2047,0,0,0.920602553
Rubella,routine,ZMB,2048,0,0,0.985448443
Rubella,routine,ZMB,2049,0,0,0.966858559
Rubella,routine,ZMB,2050,0,0,0.929402984
Rubella,routine,ZMB,2051,0,0,0.839938218
Rubella,routine,ZMB,2052,0,0,0.912863461
Rubella,routine,ZMB,2053,0,0,1
Rubella,routine,ZMB,2054,0,0,0.979538722
Rubella,routine,ZMB,2055,0,0,1
Rubella,routine,ZMB,2056,0,0,0.931698462
Rubella,routine,ZMB,2057,0,0,1
Rubella,routine,ZMB,2058,0,0,0.937385819
Rubella,routine,ZMB,2059,0,0,0.949077632
Rubella,routine,ZMB,2060,0,0,0.924742048
Rubella,routine,ZMB,2061,0,0,0.877449564
Rubella,routine,ZMB,2062,0,0,0.927469416
Rubella,routine,ZMB,2063,0,0,0.990894647
Rubella,routine,ZMB,2064,0,0,0.930044272
Rubella,routine,ZMB,2065,0,0,0.966474824
Rubella,routine,ZMB,2066,0,0,0.888091609
Rubella,routine,ZMB,2067,0,0,1
Rubella,routine,ZMB,2068,0,0,0.968826476
Rubella,routine,ZMB,2069,0,0,1
Rubella,routine,ZMB,2070,0,0,0.941474195
Rubella,routine,ZMB,2071,0,0,0.930491047
Rubella,routine,ZMB,2072,0,0,0.909626337
Rubella,routine,ZMB,2073,0,0,0.913971979
Rubella,routine,ZMB,2074,0,0,0.912258064
Rubella,routine,ZMB,2075,0,0,0.985927164
Rubella,routine,ZMB,2076,0,0,0.875166868
Rubella,routine,ZMB,2077,0,0,0.995845462
Rubella,routine,ZMB,2078,0,0,0.880623817
Rubella,routine,ZMB,2079,0,0,0.976519701
Rubella,routine,ZMB,2080,0,0,0.977782239
Rubella,routine,ZMB,2081,0,0,0.883182518
Rubella,routine,ZMB,2082,0,0,0.959162155
Rubella,routine,ZMB,2083,0,0,0.982371858
Rubella,routine,ZMB,2084,0,0,0.998014207
Rubella,routine,ZMB,2085,0,0,0.893509845
Rubella,routine,ZMB,2086,0,0,0.960676958
Rubella,routine,ZMB,2087,0,0,0.921111659
Rubella,routine,ZMB,2088,0,0,0.984031448
Rubella,routine,ZMB,2089,0,0,1
Rubella,routine,ZMB,2090,0,0,0.95469479
Rubella,routine,ZMB,2091,0,0,0.90609708
Rubella,routine,ZMB,2092,0,0,0.912372904
Rubella,routine,ZMB,2093,0,0,0.932646825
Rubella,routine,ZMB,2094,0,0,0.946160771
Rubella,routine,ZMB,2095,0,0,0.954011125
Rubella,routine,ZMB,2096,0,0,1
Rubella,routine,ZMB,2097,0,0,0.891763266
Rubella,routine,ZMB,2098,0,0,1
Rubella,routine,ZMB,2099,0,0,0.966357346
Rubella,routine,ZMB,2100,0,0,0.927793378
