vaccine,activity_type,country_code,year,age_first,age_last,coverage
RCV2,routine,ZMB,2025,2,2,0.80022492
RCV2,routine,ZMB,2026,2,2,0.747043953
RCV2,routine,ZMB,2027,2,2,0.857452271
RCV2,routine,ZMB,2028,2,2,0.761142414
RCV2,routine,ZMB,2029,2,2,0.812676184
RCV2,routine,ZMB,2030,2,2,0.883748866
RCV2,routine,ZMB,2031,2,2,0.881444681
RCV2,routine,ZMB,2032,2,2,0.925773022
RCV2,routine,ZMB,2033,2,2,0.89307697
RCV2,routine,ZMB,2034,2,2,0.868025197
RCV2,routine,ZMB,2035,2,2,0.898413719
RCV2,routine,ZMB,2036,2,2,0.93579475
RCV2,routine,ZMB,2037,2,2,0.899024482
RCV2,routine,ZMB,2038,2,2,0.887020515
RCV2,routine,ZMB,2039,2,2,0.881333119
RCV2,routine,ZMB,2040,2,2,0.945375903
RCV2,routine,ZMB,2041,2,2,0.884516446
RCV2,routine,ZMB,2042,2,2,0.825994911
RCV2,routine,ZMB,2043,2,2,0.926481131
RCV2,routine,ZMB,2044,2,2,0.862476936
RCV2,routine,ZMB,2045,2,2,0.920489593
RCV2,routine,ZMB,2046,2,2,0.893281993
RCV2,routine,ZMB,2047,2,2,0.874510895
RCV2,routine,ZMB,2048,2,2,0.866194721
RCV2,routine,ZMB,2049,2,2,0.871214313
RCV2,routine,ZMB,2050,2,2,0.939328382
RCV2,routine,ZMB,2051,2,2,0.954912842
RCV2,routine,ZMB,2052,2,2,0.876513054
RCV2,routine,ZMB,2053,2,2,0.855044124
RCV2,routine,ZMB,2054,2,2,0.799533542
RCV2,routine,ZMB,2055,2,2,0.90600403
RCV2,routine,ZMB,2056,2,2,0.875276606
RCV2,routine,ZMB,2057,2,2,0.896037387
RCV2,routine,ZMB,2058,2,2,0.915640808
RCV2,routine,ZMB,2059,2,2,0.876359853
RCV2,routine,ZMB,2060,2,2,0.828027223
RCV2,routine,ZMB,2061,2,2,0.873035154
RCV2,routine,ZMB,2062,2,2,0.88071406
RCV2,routine,ZMB,2063,2,2,0.964341115
RCV2,routine,ZMB,2064,2,2,0.920059842
RCV2,routine,ZMB,2065,2,2,0.992726314
RCV2,routine,ZMB,2066,2,2,0.865565313
RCV2,routine,ZMB,2067,2,2,0.816574652
RCV2,routine,ZMB,2068,2,2,0.879192242
RCV2,routine,ZMB,2069,2,2,0.800923869
RCV2,routine,ZMB,2070,2,2,0.867728179
RCV2,routine,ZMB,2071,2,2,0.918770806
RCV2,routine,ZMB,2072,2,2,0.946653565
RCV2,routine,ZMB,2073,2,2,0.859917554
RCV2,routine,ZMB,2074,2,2,0.900775371
RCV2,routine,ZMB,2075,2,2,0.872523386
RCV2,routine,ZMB,2076,2,2,1
RCV2,routine,ZMB,2077,2,2,0.955179421
RCV2,routine,ZMB,2078,2,2,0.901110945
RCV2,routine,ZMB,2079,2,2,0.873191037
RCV2,routine,ZMB,2080,2,2,0.893084383
RCV2,routine,ZMB,2081,2,2,0.866139885
RCV2,routine,ZMB,2082,2,2,0.943744402
RCV2,routine,ZMB,2083,2,2,0.840755685
RCV2,routine,ZMB,2084,2,2,0.904441149
RCV2,routine,ZMB,2085,2,2,0.863866248
RCV2,routine,ZMB,2086,2,2,0.872865262
RCV2,routine,ZMB,2087,2,2,0.940551157
RCV2,routine,ZMB,2088,2,2,0.92402216
RCV2,routine,ZMB,2089,2,2,0.940052003
RCV2,routine,ZMB,2090,2,2,0.876590069
RCV2,routine,ZMB,2091,2,2,0.891959864
RCV2,routine,ZMB,2092,2,2,0.924703611
RCV2,routine,ZMB,2093,2,2,0.954333613
RCV2,routine,ZMB,2094,2,2,0.89607584
RCV2,routine,ZMB,2095,2,2,0.883733713
RCV2,routine,ZMB,2096,2,2,0.909487684
RCV2,routine,ZMB,2097,2,2,0.905623383
RCV2,routine,ZMB,2098,2,2,1
RCV2,routine,ZMB,2099,2,2,0.827314908
RCV2,routine,ZMB,2100,2,2,0.846330248
Rubella,routine,ZMB,1980,0,0,0
Rubella,routine,ZMB,1981,0,0,0
Rubella,routine,ZMB,1982,0,0,0
Rubella,routine,ZMB,1983,0,0,0
Rubella,routine,ZMB,1984,0,0,0
Rubella,routine,ZMB,1985,0,0,0
Rubella,routine,ZMB,1986,0,0,0
Rubella,routine,ZMB,1987,0,0,0
Rubella,routine,ZMB,1988,0,0,0
Rubella,routine,ZMB,1989,0,0,0
Rubella,routine,ZMB,1990,0,0,0
Rubella,routine,ZMB,1991,0,0,0
Rubella,routine,ZMB,1992,0,0,0
Rubella,routine,ZMB,1993,0,0,0
Rubella,routine,ZMB,1994,0,0,0
Rubella,routine,ZMB,1995,0,0,0
Rubella,routine,ZMB,1996,0,0,0
Rubella,routine,ZMB,1997,0,0,0
Rubella,routine,ZMB,1998,0,0,0
Rubella,routine,ZMB,1999,0,0,0
Rubella,routine,ZMB,2000,0,0,0
Rubella,routine,ZMB,2001,0,0,0
Rubella,routine,ZMB,2002,0,0,0
Rubella,routine,ZMB,2003,0,0,0
Rubella,routine,ZMB,2004,0,0,0
Rubella,routine,ZMB,2005,0,0,0
Rubella,routine,ZMB,2006,0,0,0
Rubella,routine,ZMB,2007,0,0,0
Rubella,routine,ZMB,2008,0,0,0
Rubella,routine,ZMB,2009,0,0,0
Rubella,routine,ZMB,2010,0,0,0
Rubella,routine,ZMB,2011,0,0,0
Rubella,routine,ZMB,2012,0,0,0
Rubella,routine,ZMB,2013,0,0,0
Rubella,routine,ZMB,2014,0,0,0
Rubella,routine,ZMB,2015,0,0,0
Rubella,routine,ZMB,2016,0,0,0
Rubella,routine,ZMB,2017,0,0,0.972820977
Rubella,routine,ZMB,2018,0,0,0.910008662
Rubella,routine,ZMB,2019,0,0,0.915953823
Rubella,routine,ZMB,2020,0,0,0.907968787
Rubella,routine,ZMB,2021,0,0,0.917614812
Rubella,routine,ZMB,2022,0,0,1
Rubella,routine,ZMB,2023,0,0,0.88596896
Rubella,routine,ZMB,2024,0,0,0.977538577
Rubella,routine,ZMB,2025,0,0,0.984967368
Rubella,routine,ZMB,2026,0,0,0.914007756
Rubella,routine,ZMB,2027,0,0,0.899227023
Rubella,routine,ZMB,2028,0,0,0.9309092
Rubella,routine,ZMB,2029,0,0,0.840364869
Rubella,routine,ZMB,2030,0,0,0.906104676
Rubella,routine,ZMB,2031,0,0,0.848314372
Rubella,routine,ZMB,2032,0,0,0.889889422
Rubella,routine,ZMB,2033,0,0,0.932502362
Rubella,routine,ZMB,2034,0,0,0.966978771
Rubella,routine,ZMB,2035,0,0,0.956577802
Rubella,routine,ZMB,2036,0,0,0.938444014
Rubella,routine,ZMB,2037,0,0,0.941147843
Rubella,routine,ZMB,2038,0,0,0.994097755
Rubella,routine,ZMB,2039,0,0,0.961066052
Rubella,routine,ZMB,2040,0,0,0.908141813
Rubella,routine,ZMB,2041,0,0,0.954602787
Rubella,routine,ZMB,2042,0,0,1
Rubella,routine,ZMB,2043,0,0,0.890576026
Rubella,routine,ZMB,2044,0,0,0.899133517
Rubella,routine,ZMB,2045,0,0,0.933358657
Rubella,routine,ZMB,2046,0,0,0.940507043
Rubella,routine,ZMB,2047,0,0,0.904384595
Rubella,routine,ZMB,2048,0,0,1
Rubella,routine,ZMB,2049,0,0,0.960413986
Rubella,routine,ZMB,2050,0,0,0.943715062
Rubella,routine,ZMB,2051,0,0,1
Rubella,routine,ZMB,2052,0,0,0.903099808
Rubella,routine,ZMB,2053,0,0,0.968813963
Rubella,routine,ZMB,2054,0,0,0.98324563
Rubella,routine,ZMB,2055,0,0,0.912434411
Rubella,routine,ZMB,2056,0,0,0.980520816
Rubella,routine,ZMB,2057,0,0,0.989811752
Rubella,routine,ZMB,2058,0,0,1
Rubella,routine,ZMB,2059,0,0,0.908210431
Rubella,routine,ZMB,2060,0,0,0.922187174
Rubella,routine,ZMB,2061,0,0,0.991074773
Rubella,routine,ZMB,2062,0,0,1
Rubella,routine,ZMB,2063,0,0,1
Rubella,routine,ZMB,2064,0,0,1
Rubella,routine,ZMB,2065,0,0,0.996744809
Rubella,routine,ZMB,2066,0,0,1
Rubella,routine,ZMB,2067,0,0,1
Rubella,routine,ZMB,2068,0,0,0.973448203
Rubella,routine,ZMB,2069,0,0,0.936643211
Rubella,routine,ZMB,2070,0,0,0.9536308
Rubella,routine,ZMB,2071,0,0,0.971377836
Rubella,routine,ZMB,2072,0,0,1
Rubella,routine,ZMB,2073,0,0,1
Rubella,routine,ZMB,2074,0,0,1
Rubella,routine,ZMB,2075,0,0,0.931280386
Rubella,routine,ZMB,2076,0,0,1
Rubella,routine,ZMB,2077,0,0,0.989517295
Rubella,routine,ZMB,2078,0,0,0.904724019
Rubella,routine,ZMB,2079,0,0,0.996659496
Rubella,routine,ZMB,2080,0,0,0.929148229
Rubella,routine,ZMB,2081,0,0,0.949092417
Rubella,routine,ZMB,2082,0,0,1
Rubella,routine,ZMB,2083,0,0,0.893877134
Rubella,routine,ZMB,2084,0,0,0.96173229
Rubella,routine,ZMB,2085,0,0,1
Rubella,routine,ZMB,2086,0,0,0.924764978
Rubella,routine,ZMB,2087,0,0,0.957036391
Rubella,routine,ZMB,2088,0,0,0.948054243
Rubella,routine,ZMB,2089,0,0,0.87507968
Rubella,routine,ZMB,2090,0,0,1
Rubella,routine,ZMB,2091,0,0,1
Rubella,routine,ZMB,2092,0,0,0.990224758
Rubella,routine,ZMB,2093,0,0,0.90965718
Rubella,routine,ZMB,2094,0,0,0.929569514
Rubella,routine,ZMB,2095,0,0,0.896060593
Rubella,routine,ZMB,2096,0,0,1
Rubella,routine,ZMB,2097,0,0,0.95755439
Rubella,routine,ZMB,2098,0,0,0.970168656
Rubella,routine,ZMB,2099,0,0,0.911739611
Rubella,routine,ZMB,2100,0,0,0.986938043
